Average retail price of electricity annual
http://www.eia.gov/electricity/data/browser/#/topic/7?agg=0,1&geo=vvvvvvvvvvvvo&endsec=vg&linechart=ELEC.PRICE.US-ALL.A&columnchart=ELEC.PRICE.US-ALL.A&map=ELEC.PRICE.US-ALL.A&freq=A&start=2001&end=2015&ctype=linechart&ltype=sourcekey&rtype=s&pin=&rse=0&maptype=0
23:05:31 GMT-0400 (EDT)
Source: U.S. Energy Information Administration
Year,United States : all sectors cents per kilowatthour
2015,10.42
2014,10.44
2013,10.07
2012,9.84
2011,9.9
2010,9.83
2009,9.82
2008,9.74
2007,9.13
2006,8.9
2005,8.14
2004,7.61
2003,7.44
2002,7.2
2001,7.29 
